group_name,company,group_type,debute_year,disband_year,current_status,social_accounts,inactive_members,current_members,original_members_remainding,initial_members,member_changes,subunits,albums,mini_albums,other_albums,singles,digital_singles,other_singles,foreign_albums,foreign_mini_albums,foreign_other_album,foreign_singles,foreign_digital_singles,foreign_other_singles,others,last_production_year
Apink,play_m_entertainment,Female,2011,0,Active,10,0,6,6,7,1,3,3,9,1,0,9,1,3,0,0,9,0,0,3,2021
Apple.B,gh_entertainment,Female,2017,2018,Disband,4,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
APRIL,dsp_media,Female,2015,0,Active,9,0,6,4,6,4,0,0,7,0,2,0,2,0,0,0,2,0,0,7,2020
April Kiss,olleh_music,Female,2011,2011,Disband,1,0,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011
AQUA,krazy_entertainment,Female,2018,2019,Disband,1,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
AREAL,jz_factory_entertainment,Female,2020,2021,Disband,5,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020
ARIAZ,rising_star_entertainment,Female,2019,0,Active,4,0,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2019
As One,chorokbaemjuna_e&m,Female,2012,2016,Disband,3,0,6,6,6,0,0,0,0,0,0,2,0,0,1,0,0,7,0,0,2016
ASHA,cm_entertainment,Female,2015,2016,Disband,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
Asome.D,dy_entertainment,Female,2020,0,Active,6,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2020
Awe5ome Baby,tn_entertainment,Female,2015,2016,Disband,5,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
AWESOME,midum_entertainment,Female,2017,2018,Disband,3,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
AZM,innok_entertainment,Female,2018,2019,Disband,3,0,4,3,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2018
B Girls,afreecatv,Female,2018,0,Active,0,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
BaBa,pr_entertainment,Female,2015,2020,Disband,5,0,7,1,6,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2018
Baby Boo,hyunda_company,Female,2015,2020,Disband,2,0,3,1,4,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2019
Baby V.O.X,dr_music,Female,1997,2006,Disband,0,0,1,2,6,7,0,7,0,1,0,0,0,0,0,1,0,0,0,0,2004
