group_name,company,group_type,debut_year,disband_year,social_accounts,inactive_members,current_members,original_members_remainding,initial_members,member_changes,subunits,albums,mini_albums,other_albums,singles,digital_singles,other_singles,foreign_albums,foreign_mini_albums,foreign_other_album,foreign_singles,foreign_digital_singles,others,last_production_year,total_releases,lifespan
Black Bunny,laentertainment,0,2019,2020.0,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019,1,2.0
Black Swan(2016),gm_entertainment,0,2016,2016.0,1,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2016,3,1.0
Blady,colabs,0,2011,2017.0,3,0,5,0,5,13,1,0,1,0,0,4,0,0,0,0,0,0,0,2015,5,7.0
Blah Blah,fab_entertainment,0,2017,2019.0,4,0,2,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,3.0
Blastar,vh_entertainment,0,2020,2020.0,1,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020,1,1.0
Bling,ps_creative,0,2015,2018.0,3,0,4,3,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,4.0
Bloomy,ds_entertainment,0,2016,2017.0,6,0,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,1,2.0
Bob Girls,chrome_entertainment,0,2014,2015.0,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2014,2,2.0
BONUSbaby,maroo_entertainment,0,2017,2020.0,6,0,5,5,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2017,2,4.0
BP POP,bp_story_entertainment,0,2013,2015.0,3,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2013,2,3.0
Brand New Day,wannabe_management,0,2009,2009.0,0,0,3,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2009,4,1.0
BULLDOK,innok_entertainment,0,2016,2018.0,0,0,2,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,3.0
C.I.V.A,lee&tak_entertainment,0,2016,2016.0,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,1.0
CAMILA,c.c_entertainment,0,2018,2019.0,2,0,3,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2019,2,2.0
Carcaro Girl,reverse_social,0,2011,2011.0,1,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011,1,1.0
CHERRY ON TOP,united_creative,0,2018,2019.0,5,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2018,2,2.0
CHI CHI,trophy_entertainment,0,2011,2013.0,0,0,5,5,7,3,0,0,0,0,0,3,0,0,0,0,1,0,0,2012,4,3.0
Chloris,fab_entertainment,0,2017,2020.0,7,0,4,2,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,4.0
ChoColat,paramount_music,0,2011,2014.0,1,0,6,6,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2013,3,4.0
CLEO,emi_(korea),0,1999,2005.0,0,0,3,1,3,4,0,5,0,0,0,1,0,0,0,0,0,0,0,2005,6,7.0
Cooki,dream_scape_entertainment,0,1998,2001.0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2000,2,4.0
Crayon Pop,chrome_entertainment,0,2012,2016.0,8,0,4,4,5,1,1,1,3,0,3,2,0,1,1,1,2,0,6,2016,20,5.0
CST,dreamcense,0,2018,2018.0,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1,1.0
Cupid,narda_entertainment,0,2015,2019.0,0,0,2,1,4,8,0,0,0,0,0,1,1,0,0,0,0,0,2,2018,4,5.0
CutieL,colabs,0,2010,2018.0,2,0,5,0,7,25,0,1,1,0,0,5,0,0,0,0,0,0,0,2016,7,9.0
D.el,colabs,0,2016,2017.0,0,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2017,2,2.0
D.Holic,star_road_entertainment,0,2014,2017.0,5,0,6,2,5,7,0,0,1,0,1,2,0,0,0,0,0,0,0,2016,4,4.0
Dalshabet,happyface_entertainment,0,2011,2019.0,4,0,6,5,6,2,0,1,10,0,0,0,0,0,0,0,1,0,1,2016,13,9.0
DayDream(2016),colabs,0,2016,2016.0,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,1.0
Daydream(2019),great_company,0,2019,2020.0,3,0,6,4,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2020,1,2.0
Delight(2013),bros_media_entertainment,0,2013,2015.0,3,0,5,3,4,4,0,0,2,0,0,1,0,0,0,0,0,0,0,2014,3,3.0
DICE,bros_entertainment,0,2016,2017.0,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2.0
Diva,colabs,0,1997,2005.0,0,0,3,3,4,1,0,8,0,0,0,0,0,1,0,0,0,0,2,2005,11,9.0
Dorothy,leek.mill,0,2016,2017.0,3,0,6,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2.0
Elado,ao_entertainment,0,2017,2017.0,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,1.0
Enue,samsung_music,0,1997,1999.0,0,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1997,1,3.0
EvoL,stardom_entertainment,0,2012,2015.0,2,0,5,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2013,2,4.0
f(x),sm_entertainment,0,2009,2019.0,5,0,5,5,5,0,0,4,2,0,1,3,1,0,0,0,2,1,7,2016,21,11.0
F-ve Dolls,colabs,0,2011,2015.0,1,0,6,3,5,5,0,0,2,1,0,2,0,0,0,0,0,0,1,2013,6,5.0
Fantastie,in_entertainment,0,2016,2017.0,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2.0
FIESTAR,fave_entertainment,0,2012,2018.0,0,0,5,5,6,1,0,0,2,0,3,4,1,0,0,0,0,0,4,2018,14,7.0
FIONA,supreme_entertainment,0,2015,2016.0,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2.0
FLASHE,play_music_entertainment,0,2012,2020.0,6,0,4,1,5,13,0,0,1,0,0,7,4,0,0,0,0,0,0,2018,12,9.0
Flying Girls,doll_communications,0,2009,2009.0,0,0,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2009,1,1.0
G-(i)Kon,d-day_entertainment,0,2019,2020.0,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019,1,2.0
Gangkiz,core_contents_media,0,2012,2014.0,2,0,7,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2012,1,3.0
GBB,probeat_company,0,2018,2020.0,3,0,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2018,1,3.0
GeeGu,gf_entertainment,0,2017,2021.0,5,0,6,6,9,3,0,0,2,0,0,0,0,0,0,0,0,0,1,2019,3,5.0
GI,simtong_entertainment,0,2013,2016.0,3,0,5,2,5,6,0,0,1,0,0,4,0,0,0,0,0,0,0,2015,5,4.0
Girl's Day,dreamt_entertainment,0,2010,2017.0,8,0,4,2,5,5,0,2,6,1,9,0,1,0,0,0,1,0,0,2017,20,8.0
Girl2School,dni_works,0,2010,2015.0,3,0,3,0,10,20,0,0,0,0,0,3,0,0,0,0,0,0,1,2014,4,6.0
GIRLS GIRLS,h_brothers_entertainment,0,2015,2019.0,4,0,2,2,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2016,2,5.0
GLAM,colabs,0,2012,2015.0,3,0,4,4,5,1,0,0,0,0,2,2,0,0,0,0,0,0,3,2014,7,4.0
GOOD DAY,c9_entertainment,0,2017,2019.0,4,0,10,10,10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2017,1,3.0
GP Basic,jacyhan_international,0,2010,2015.0,0,0,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2014,7,6.0
GROW.B,midum_entertainment,0,2019,2019.0,1,0,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2019,1,1.0
Gugudan,jellyfish_entertainment,0,2016,2020.0,5,0,8,8,9,1,2,0,3,0,2,0,0,0,0,0,0,0,4,2018,9,5.0
H.U.B,new_planet_entertainment,0,2017,2019.0,6,0,5,1,4,7,0,0,0,0,0,5,0,0,0,0,0,0,0,2018,5,3.0
H2L,regolith_entertainment,0,2015,2017.0,1,0,3,3,5,2,0,0,0,0,0,3,0,0,0,0,0,0,1,2017,4,3.0
HADY,kings_entertainment,0,2015,2017.0,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,2,3.0
HAM,lee_yeon_entertainment,0,2009,2011.0,2,0,3,3,4,1,0,0,0,0,0,4,2,0,0,0,0,0,0,2011,6,3.0
Heart,kcent_entertainment,0,2016,2017.0,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2.0
HELLOVENUS,fantagio_music,0,2012,2019.0,3,0,6,4,6,4,0,0,5,1,1,4,0,0,0,0,0,0,3,2018,14,8.0
HEXE,serenity_music,0,2015,2016.0,1,0,5,5,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2016,3,2.0
Hi.D,heroes_factory,0,2016,2016.0,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,1.0
HINAPIA,osr_entertainment,0,2019,2020.0,6,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019,1,2.0
Holy Days,line_&_jeen_entertainment,0,2016,2018.0,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2017,3,3.0
Honey Girls,liz_entertainment,0,2015,2016.0,0,0,3,3,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2.0
HOT TEEN,tiptop_entertainment,0,2019,2019.0,2,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019,1,1.0
HOTTIES,solerino,0,2015,2017.0,5,0,4,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2015,1,3.0
i-13,lime_music,0,2005,2007.0,0,0,13,13,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2005,1,3.0
I-Ren,j_company_entertainment,0,2016,2017.0,1,0,3,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,2.0
I.B.I,loen_entertainment,0,2016,2017.0,0,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2.0
I.O.I,ymc_entertainment,0,2016,2017.0,5,0,11,11,11,0,0,0,2,0,1,3,0,0,0,0,0,0,1,2017,7,2.0
Icia,colabs,0,2015,2019.0,3,0,11,11,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2018,4,5.0
ILUV,wks_ene,0,2019,2020.0,6,0,7,7,7,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2020,4,2.0
IZ*ONE,off_the_record_entertainment,0,2018,2021.0,11,0,12,12,12,0,0,1,4,0,0,1,1,1,0,0,3,0,2,2021,13,4.0
Jewelry,star_empire_entertainment,0,2001,2015.0,3,0,3,0,4,10,0,6,1,0,0,6,1,2,0,0,5,0,2,2013,23,15.0
Jjarimongttang,cs_entertainment,0,2013,2016.0,2,0,3,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,4.0
Juliet,wonder_music,0,1997,2000.0,0,0,2,1,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2000,2,4.0
